cauto
abierto
abstracto
aburrido
ácida
agotado
albo
alto
amoroso
ancha
ansioso
arriesgado
artístico
audaz
aurífero
azul
bajo
blanco
bondadoso
bonito
brillante
bueno
caliente
cómico
compasivo
cortés
cruel
culto
deportivo
difícil
dulce
eficiente
enfermo
estricto
estudioso
etéreo
fácil
feo
frío
fuerte
gélido
generoso
gentil
gordo
grande
hermoso
honesto
humilde
independiente
inquebrantable
inteligente
interesante
joven
lenta
liberal
listo
llorosa
luminoso
madura
mala
malcriado
marrón
menguante
mentiroso
moderno
negro
nueva
nuevo
ordenado
pequeño
persistente
prolijo
rápido
respetuoso
resplandeciente
responsable
rojo
sabio
santo
sensato
sensible
serio
simpático
sincero
sonoro
suculento
triste
valiente
veloz
venenosa
verde
viajero
viejo
